id,category,input,expected_result,reason,source,source_url
1,스미싱,"상품발송 확인 클릭해주시면 배송이 시작됩니다. (단축 URL 포함)",위험,"택배 배송을 사칭해 미확인 단축 URL 클릭을 유도하는 전형적 스미싱 패턴. KISA가 실제 의심 사례로 제시.",한국인터넷진흥원(KISA),https://news.mt.co.kr/mtview.php?no=2024032914450697981
2,스미싱,"모바일 청첩장을 확인해주세요 (결혼식 안내 링크 포함)",위험,"'결혼','청첩장' 키워드로 악성앱 설치를 유도하는 유형. 발신번호가 저장된 지인 번호로 위장되는 경우가 많음.",KISA 보호나라,https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=71675
3,스미싱,"OOO님 보호나라안전 앱입니다. m.kisabohonara.com",위험,"보안기관(KISA 보호나라) 자체를 사칭한 스미싱. 실제 KISA 공식 도메인(www.boho.or.kr)이 아님.",KISA / 보안뉴스,http://m.boannews.com/html/detail.html?idx=40181&page=112&kind=3
4,스미싱,"[1577-****] 환경관리부·교통민원24 명의 안내 문자 (링크 포함)",위험,"공공기관 대표번호나 지인 번호로 발신번호가 위장되어 신뢰를 유도하는 스미싱 유형.",KISA 보호나라,https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000030&menuNo=205027&nttId=71280
5,스미싱,"[불법스팸대응센터] 이용정지 안내. 수사 진행을 위해 아래 링크로 접속해 벌금을 납부하세요.",위험,"수사기관·정부기관을 사칭해 벌금 납부를 명목으로 악성 링크 클릭을 유도.",KISA 불법스팸대응센터,https://m.boannews.com/html/detail.html?idx=135471
6,스미싱,"고객님 앞으로 카드가 발급되어 배송 예정입니다. 신청한 적 없으시면 아래 번호로 즉시 연락주세요.",위험,"카드 미신청 사실을 이용해 불안을 조성한 뒤 사기범이 지정한 번호로 전화를 유도하는 카드발급 사칭형 스미싱.",KB국민은행(금융사기 예방 자료),https://kbthink.com/fraud/smishing.html
7,보이스피싱,"저희 검찰청에서 홍길동을 주범으로 한 금융범죄 사기단을 검거하는 과정에서 선생님 명의 대포통장이 확인되었습니다.",위험,"검찰을 사칭해 대포통장 연루 의혹을 제기하며 공포심을 유발하는 전형적 기관사칭형 보이스피싱 도입부.",대구경찰청,https://www.dgpolice.go.kr/PageLink.do?link=%2Fdgpo%2F05%2F501
8,보이스피싱,"금융감독원 최OO 과장입니다. 현재 경찰·검찰과 합동수사 중이며 무혐의 입증을 위해 계좌 거래내역 확인이 필요합니다.",위험,"검찰 사칭 후 금융감독원 직원을 사칭한 인물로 연결해 신뢰도를 높이는 '릴레이 사칭' 수법. 실제 수사기관은 전화로 계좌 확인을 요구하지 않음.",대구경찰청,https://www.dgpolice.go.kr/PageLink.do?link=%2Fdgpo%2F05%2F501
9,보이스피싱,"저는 OO경찰서 OOO경위입니다. 본인 앞으로 고소장이 접수됐는데, 명의 통장이 불법자금 유통에 쓰였습니다. 피해자임을 입증 못 하시면 배상하실 수도 있습니다.",위험,"경찰을 사칭해 배상 책임을 언급하며 심리적 압박을 가하는 수법. 위조된 구속영장·공문서를 문자로 발송하는 경우도 보고됨.",삼성생명(보이스피싱 주의 안내),https://www.samsungpop.com/ux/kor/customer/notice/notice/noticeViewContent.do?MenuSeqNo=18666
10,보이스피싱,"중앙지방검찰청 박OO 수사관입니다. 본인 명의 계좌가 범죄에 이용된 것을 알고 있나요? 협조하시면 비대면 수사, 비협조시 강압수사로 진행됩니다.",위험,"검찰 수사관을 사칭해 '협조/비협조'를 언급하며 심리적으로 압박, 이후 금감원 직원 사칭 인물에게 자금을 전달하도록 유도하는 실제 피해 사례 재구성.",카카오뱅크,https://www.kakaobank.com/bank-story/272
11,보이스피싱,"어르신 통장이 범죄에 쓰였으니 자금을 안전계좌로 옮기셔야 합니다.",위험,"'안전계좌'는 실존하지 않는 개념이며, 검찰·경찰·금융감독원 어디도 전화로 계좌이체나 현금 인출을 요구하지 않음.",해피시니어라이프(고령층 대상 안내),https://happyseniorlife.co.kr/guides/impersonation-scam-police-prosecutor
12,건강,"방광염 완치, 전립선 비대증 회복 가능한 건강식품입니다.",위험,"일반식품을 의약품·건강기능식품으로 오인하게 하는 질병 치료 효능 표방 광고로 식약처 단속 대상.",식품의약품안전처,https://www.nongmin.com/article/20251215500435
13,건강,"위고비와 같은 작용 기전으로 염증성 지방부터 먼저 녹여줍니다.",위험,"비만치료제 명칭·기전을 연상시키는 표현을 사용한 일반식품 부당광고. 식약처가 AI 생성 '전문가 영상' 활용 업체 다수를 적발.",식품의약품안전처,https://www.nongmin.com/article/20251215500435
14,건강,"암은 고기를 먹으면 잘 낫지 않고, 생선과 야채만으로 치유할 수 있습니다.",위험,"근거 없이 특정 식단만으로 암 치유가 가능하다고 주장하는 콘텐츠. 국립암센터 연구팀 분석 결과 유튜브 암 관련 영상 중 과학적 근거를 갖춘 것은 5개 중 1개에 불과했음.",오마이뉴스(국립암센터 연구 인용),https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003204571
15,건강,"상황버섯, 차가버섯을 오래 달여 드시면 항암에 도움이 됩니다.",주의,"검증되지 않은 민간요법을 항암치료와 병행하면 간독성 등 부작용을 유발할 수 있으며, 예일대 연구에서 병행 환자군의 사망위험이 약 2배 높았음.",헬스경향(예일대 연구 인용),https://www.k-health.com/news/articleView.html?idxno=93081
16,건강,"이 건강기능식품은 암을 예방합니다.",위험,"건강기능식품은 의약품이 아니며 질병 예방·치료 효능 표방은 허위·과대광고에 해당.",국민건강지식센터(서울대),https://hqcenter.snu.ac.kr/archives/jiphyunjeon/%EA%B1%B4%EA%B0%95%EA%B8%B0%EB%8A%A5%EC%8B%9D%ED%92%88-%EC%98%AC%EB%B0%94%EB%A5%B4%EA%B2%8C-%EC%95%8C%EA%B3%A0-%EB%98%91%EB%98%91%ED%95%98%EA%B2%8C-%EC%84%A0%ED%83%9D%ED%95%98%EA%B8%B0
17,건강,"이 제품을 먹으면 질병을 예방·치료할 수 있습니다 (일반식품 온라인 광고)",위험,"식약처·지자체 합동점검에서 236건 적발된 유형. 일반식품을 건강기능식품으로 오인하게 하거나 질병 예방·치료 효과를 표방.",식품의약품안전처,https://www.kpanews.co.kr/news/articleView.html?idxno=260179
18,건강,"한약, 홍삼, 버섯 달인 물, 즙을 항암치료와 함께 드세요.",주의,"검증되지 않은 민간요법을 항암화학요법과 병행 시 약효 저하 및 간·신장 독성 위험을 병원이 공식 경고.",서울대학교암병원,https://www.snuh.org/m/board/B023/view.do?bbs_no=7015&searchKey=all&searchWord=&pageIndex=1
19,정상,"현재 김천시 폭염 특보 발효중. 밤사이 열대야 예상. 야외 활동 자제, 충분히 물을 마시고 냉방기기 적정사용으로 건강관리에 유의하시기 바랍니다. [김천시]",안전,"지자체가 발송한 실제 안전안내문자. 링크나 개인정보 요구 없이 행동요령만 안내.",행정안전부 재난안전데이터공유플랫폼,https://www.safetydata.go.kr/disaster-data/disasterNotificationDetail?sn=262153
20,정상,"기흥구,수지구,처인구(포곡,모현,양지,동지역) 많은비 예보. 야외활동 자제, 차량운행·보행시 침수지역 진입 금지, 하천주변·산간계곡 등 출입자제 바랍니다.[용인시]",안전,"실제 지자체 발송 호우 예보 안전안내문자.",행정안전부 재난안전데이터공유플랫폼,https://www.safetydata.go.kr/disaster-data/disasterNotificationDetail?sn=262152
21,정상,"오늘 16:30 성주읍 경산리 수정2차 아파트 607호에서 화재 발생. 차량은 건물 주변 도로를 우회하고, 건물 내 시민은 건물 밖으로 대피하세요. [성주군]",안전,"실제 화재 발생 시 발송된 긴급 안전안내문자.",행정안전부 재난안전데이터공유플랫폼,https://www.safetydata.go.kr/disaster-data/disasterNotificationDetail?sn=262151
22,정상,"16:10 호우주의보 발효중. 야외활동 자제, 하천·급경사지 등 위험지역 접근자제, 저지대 침수 주의 등 안전에 유의 하시기 바랍니다. [광주시]",안전,"실제 지자체 발송 호우주의보 안내문자.",행정안전부 재난안전데이터공유플랫폼,https://www.safetydata.go.kr/disaster-data/disasterNotificationDetail?sn=262150
